"District";"Latitude";"Longitude"
"6";41.735857166;-87.624152861
"25";41.902217176;-87.758567201
"19";41.945342747;-87.657304056
"11";41.895420644;-87.720539406
"7";41.772689939;-87.627068632
"11";41.871025414;-87.699510379
"11";41.894272651;-87.726052394
"9";41.801458486;-87.654410134
"5";41.711794902;-87.612668144
"15";41.888660927;-87.748842529
"4";41.751457646;-87.552892516
"22";41.72987194;-87.649526282
"8";41.775052585;-87.684746978
"8";41.76825161;-87.688539843
"6";41.751305337;-87.603628907
"8";41.779040428;-87.698572821
"15";41.873563057;-87.761577786
"5";41.700101573;-87.607038666
"5";41.707519433;-87.601839023
"3";41.765512724;-87.562879407
"15";41.89680797;-87.749260436
"10";41.840031277;-87.730517897
"9";41.811200883;-87.672325229
"8";41.779127446;-87.692496861
"9";41.80835455;-87.689630728
"16";41.9795126;-87.783562093
"15";41.875661086;-87.762414626
"8";41.783321885;-87.733890963
"24";42.021163126;-87.671601347
"7";41.792012683;-87.632929197
"6";41.736508334;-87.614121283
"8";41.770145555;-87.684220877
"11";41.877103668;-87.72431291
"12";41.901582134;-87.664124372
"7";41.766575946;-87.629800588
"19";41.968781418;-87.677236652
"8";41.765653326;-87.698994374
"25";41.914289579;-87.731351714
"17";41.946142966;-87.745880661
"11";41.880569488;-87.738946458
"6";41.745007012;-87.600156778
"6";41.750106007;-87.659792541
"6";41.747851897;-87.66337071
"22";41.726763145;-87.657032469
"6";41.750422085;-87.658939029
"9";41.80626991;-87.670982127
"15";41.876581037;-87.745137513
"19";41.952471604;-87.644277333
"11";41.874784728;-87.735269519
"20";41.974993162;-87.651610341
"10";41.838003402;-87.699946421
"18";41.906383704;-87.647701013
"1";41.851062132;-87.627708367
"8";41.793234801;-87.693786537
"25";41.924373692;-87.735901666
"8";41.814109523;-87.744399852
"22";41.726190877;-87.653067442
"8";41.785970964;-87.692362714
"10";41.844063211;-87.705028372
"22";41.721005667;-87.643202686
"15";41.894945957;-87.75494476
"8";41.785709457;-87.722952947
"7";41.789888539;-87.657194427
"7";41.782606243;-87.654579713
"9";41.794241476;-87.650320383
"19";41.95733585;-87.650500754
"15";41.883011761;-87.754505236
"7";41.763370178;-87.645135089
"5";41.701263058;-87.606271246
"3";41.760253859;-87.563169562
"22";41.706357787;-87.63795764
"4";41.756596866;-87.573647633
"8";41.767561597;-87.682003538
"3";41.759502946;-87.605419957
"5";41.699615038;-87.60734807
"5";41.688516319;-87.619510791
"22";41.714877602;-87.663610707
"24";42.010954569;-87.670139656
"6";41.750306372;-87.659797776
"10";41.854258571;-87.713694027
"15";41.883014431;-87.754490523
"24";41.996663903;-87.688630478
"8";41.769595443;-87.682059946
"10";41.840322451;-87.711017413
"16";41.976290414;-87.905227221
"7";41.785057678;-87.65517719
"1";41.868258726;-87.627442185
"22";41.732066967;-87.636211302
"15";41.876772861;-87.746156543
"6";41.750038093;-87.642803858
"14";41.903038174;-87.709240636
"3";41.773111289;-87.607491361
"11";41.894546516;-87.718725993
"6";41.751863657;-87.652561898
"10";41.852115685;-87.679604831
"24";42.019383301;-87.67275327
"6";41.749982305;-87.644024788
"19";41.966430564;-87.651032417
"9";41.826678586;-87.680964388
"1";41.852051628;-87.627069839
"8";41.780572262;-87.687342172
"15";41.884445161;-87.746034886
"10";41.84214767;-87.711069456
"4";41.752920028;-87.563828953
"6";41.736262388;-87.62711981
"9";41.816626502;-87.631193687
"15";41.891347851;-87.7494424
"16";41.960590909;-87.758278218
"8";41.773267174;-87.685919752
"25";41.938263869;-87.746868163
"8";41.771521464;-87.683429837
"4";41.753063763;-87.551381474
"19";41.940007295;-87.647469578
"4";41.751528912;-87.548046864
"22";41.730081792;-87.647439507
"6";41.735766305;-87.664844626
"22";41.734891334;-87.663040115
"22";41.731564657;-87.662942811
"9";41.795015197;-87.703604353
"22";41.724584786;-87.662758948
"18";41.898392682;-87.637240924
"6";41.752652015;-87.605237166
"22";41.73360415;-87.643547788
"6";41.750094836;-87.644027249
"7";41.79149338;-87.645083707
"11";41.876887897;-87.696177112
"8";41.777179176;-87.700948552
"22";41.736013867;-87.647709805
"3";41.765706962;-87.580589024
"22";41.692110737;-87.662213946
"8";41.779234743;-87.685207125
"5";41.690757699;-87.624267665
"22";41.722638806;-87.643247484
"24";42.013053;-87.690242301
"5";41.695507336;-87.612231194
"6";41.750005014;-87.673125651
"10";41.847120382;-87.707552924
"15";41.884331999;-87.75455575
"6";41.739063155;-87.650996994
"6";41.757301031;-87.658764394
"11";41.883326828;-87.72883682
"6";41.751181266;-87.663460692
"11";41.87528833;-87.724051086
"3";41.767351647;-87.582816839
"8";41.778397088;-87.686066138
"6";41.757164303;-87.641767223
"8";41.764524352;-87.693851809
"14";41.915736186;-87.690419264
"11";41.884078257;-87.721488764
"11";41.893190128;-87.744243234
"8";41.779161682;-87.690274725
"6";41.742091854;-87.670513518
"6";41.748593873;-87.659320958
"11";41.881022767;-87.701512057
